Id,SalePrice
1461,124699.957376
1462,156216.10367
1463,190580.458288
1464,199921.66488
1465,201253.413504
1466,179068.096575
1467,173739.706638
1468,168924.348697
1469,205725.981891
1470,133164.659451
1471,203298.422606
1472,94819.3018575
1473,97004.1094479
1474,158810.063345
1475,120366.068745
1476,378397.504992
1477,243119.924207
1478,301672.033664
1479,298531.867324
1480,494910.70523
1481,319221.052932
1482,206767.193084
1483,185824.175252
1484,166631.465897
1485,182796.486526
1486,207520.131799
1487,328802.391567
1488,252599.548883
1489,189980.688422
1490,249320.40234
1491,181618.76302
1492,89879.2392187
1493,174909.332079
1494,301853.785053
1495,311436.473627
1496,253354.699802
1497,194696.333623
1498,160880.103166
1499,163884.367406
1500,155711.281343
1501,167452.739317
1502,157464.325677
1503,276250.014235
1504,249479.723679
1505,240332.437816
1506,187816.826365
1507,265131.365062
1508,203213.031375
1509,159364.832778
1510,143802.365535
1511,156419.228181
1512,170135.828278
1513,149014.320534
1514,140139.949965
1515,194369.148036
1516,154068.170179
1517,155741.671143
1518,141552.77569
1519,205407.624736
1520,138089.819864
1521,135759.660249
1522,175816.196107
1523,117046.387919
1524,115246.294677
1525,122987.539428
1526,122636.493847
1527,100659.33649
1528,131342.218752
1529,139841.335457
1530,163632.079239
1531,124798.00022
1532,98865.5728594
1533,141520.445065
1534,113699.037147
1535,148693.027696
1536,105058.768805
1537,83228.3871049
1538,142558.191591
1539,193992.427981
1540,108256.665235
1541,140139.863713
1542,152440.552628
1543,210283.823013
1544,93057.9578899
1545,119885.971718
1546,142681.691923
1547,142871.396246
1548,131916.03919
1549,119358.376836
1550,149351.559952
1551,117573.076334
1552,144968.945699
1553,124379.542912
1554,114566.790275
1555,198227.489153
1556,133334.322957
1557,110047.546412
1558,107413.355587
1559,119982.03627
1560,139090.670512
1561,136408.722867
1562,123933.294799
1563,127277.489667
1564,191644.480779
1565,156668.853699
1566,259081.159164
1567,85527.3512119
1568,235662.762257
1569,125123.226975
1570,141573.145034
1571,127046.341761
1572,137147.91729
1573,221686.034967
1574,126681.1252
1575,228959.681561
1576,226203.966739
1577,183727.546976
1578,114229.802884
1579,150773.734363
1580,201701.212612
1581,137157.09363
1582,124775.396439
1583,308701.004501
1584,237122.218366
1585,147099.285611
1586,72219.8511823
1587,104048.270562
1588,143799.227287
1589,104971.23862
1590,131016.830201
1591,96574.8745166
1592,104059.270589
1593,115023.945612
1594,139465.278959
1595,130041.543905
1596,257507.627745
1597,198053.862524
1598,211125.333324
1599,181753.940687
1600,177865.343235
1601,65499.8577156
1602,103244.090297
1603,88106.2843599
1604,291895.107756
1605,247591.875503
1606,173064.092694
1607,172724.293418
1608,215749.159045
1609,181283.736506
1610,151481.177445
1611,142113.467334
1612,170673.168359
1613,156936.920149
1614,116401.969637
1615,91240.7998324
1616,85773.4529693
1617,91143.1749084
1618,122862.156382
1619,127394.190722
